"year","response","Model","CI.low","Mean","CI.high","ES_source","ES_model"
"2022","richness_all","Lv",0.197194142836756,0.360331041459659,0.502222599911985,"E2","multiplicative"
"2022","richness_all","ES",0.225145342087612,0.411204106770771,0.575970640823885,"E2","multiplicative"
"2022","richness_all","LvES",0.238006644810598,0.422041014205636,0.568413494387573,"E2","multiplicative"
"2022","richness_all","All",0.298766085434373,0.496309366890065,0.655424061642921,"E2","multiplicative"
"2022","biomass","Lv",0.1161400478605,0.256286387817012,0.429232611426973,"E3","dominative"
"2022","biomass","ES",0.140222641247872,0.33410329749461,0.539960575652638,"E3","dominative"
"2022","biomass","LvES",0.250154900255789,0.420614427953132,0.608087584638372,"E3","dominative"
"2022","biomass","All",0.358277844005579,0.566478302555222,0.727389777634634,"E3","dominative"
"2022","shannon_all","Lv",0.00014776541230186,0.0248502457073662,0.215436434883295,"E2","multiplicative"
"2022","shannon_all","ES",7.74760812771975e-05,0.0426412265113848,0.253843458187358,"E2","multiplicative"
"2022","shannon_all","LvES",0.000230425608955446,0.048679782668682,0.283468375661067,"E2","multiplicative"
"2022","shannon_all","All",0.00276271556953735,0.146727516901388,0.441468019732365,"E2","multiplicative"
"2022","evenness_all","Lv",0.0460816606978102,0.236649390639952,0.494544735626302,"E3","dominative"
"2022","evenness_all","ES",7.16410299164189e-05,0.0292442393978889,0.201865848416512,"E3","dominative"
"2022","evenness_all","LvES",0.0714767560885236,0.282349704387575,0.54900171648061,"E3","dominative"
"2022","evenness_all","All",0.0916421500721973,0.335578028585326,0.613556290660094,"E3","dominative"
"2023","richness_all","Lv",0.0962717675271781,0.246748217520817,0.419623008501892,"E2","multiplicative"
"2023","richness_all","ES",0.000448802822888755,0.091480641447349,0.319911592113849,"E2","multiplicative"
"2023","richness_all","LvES",0.165845097765276,0.343320396386864,0.560537344663485,"E2","multiplicative"
"2023","richness_all","All",0.419053980463635,0.605098570649176,0.766082901379529,"E2","multiplicative"
